"Store Name","Store URL","Owner Name","Shopify Plan","Tags","AE Plan","Status"
"Mohit Singh Dev","https://mohit-singh-dev.myshopify.com","Eric Williams","partner_test","","Bronze","active"
"Bert Test Store 2","https://v08kv3-v8.myshopify.com",,,"",,"uninstall"
"Account Editor Support","https://ae-support.myshopify.com",,,"",,"uninstall"
"Atul Shukla Dev","https://atul-shukla-dev.myshopify.com",,,"",,"uninstall"
"Account Editor Production","https://productionae.myshopify.com",,,"",,"uninstall"
"appstoretest4","https://xbbf0y-vp.myshopify.com",,,"",,"uninstall"
"Nilesh Tiwari Dev","https://nilesh-tiwari-dev.myshopify.com","Eric Williams","partner_test","","Gold","active"
"Mayuri Rajput","https://mayuri-rajput.myshopify.com","Eric Williams","partner_test","",,"trial"
"Antim Fulwere Dev","https://antim-fulwere-dev.myshopify.com","Eric Williams","partner_test","","Gold","active"
"Anuj Malakar Dev","https://anuj-malakar-dev.myshopify.com","Eric Williams","partner_test","",,"CreditApplied"
"Antim Fulwere Dev 2.0","https://antim-fulwere-dev-2-0.myshopify.com","Eric Williams","partner_test","","Gold","active"
"Manish Singh QA","https://manish-singh-qa.myshopify.com",,,"",,"uninstall"
"Rohit Thakur Dev","https://rohit-thakur-dev.myshopify.com","Eric Williams","partner_test","","Gold","active"
"Rohit Patel Dev","https://rohit-patel-dev.myshopify.com","Eric Williams","partner_test","","Silver","active"
"Ram Kumawat Dev","https://ram-kumawat-dev.myshopify.com","Eric Williams","partner_test","",,"trial"
"Account Editor Flow","https://account-editor-flow.myshopify.com","Account Editor","partner_test","","Silver","SubscriptionChargeCanceled"
"Rajesh Choudhary Dev","https://rajesh-choudhary-dev.myshopify.com","Eric Williams","partner_test","",,"trial"
"Account Editor Development","https://quickstart-1add1160.myshopify.com",,,"",,"RelationshipDeactivated"
